status,top,rel,bytes,error_or_kept_as,path
invalid_pdf,NMR simulation,Random Walk\._Chi2015_DiffusionalCoupling.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Chi2015_DiffusionalCoupling.pdf
invalid_pdf,NMR simulation,Random Walk\._Fraga2013_RWCarbonatesPoreCoupling.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Fraga2013_RWCarbonatesPoreCoupling.pdf
invalid_pdf,NMR simulation,Random Walk\._Gonzalez2020_Inhomogeneities .pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Gonzalez2020_Inhomogeneities .pdf
invalid_pdf,NMR simulation,Random Walk\._Kaas2017_NMRforPermafrost.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Kaas2017_NMRforPermafrost.pdf
invalid_pdf,NMR simulation,Random Walk\._Lucas-Oliveira2018.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Lucas-Oliveira2018.pdf
invalid_pdf,NMR simulation,Random Walk\._Noetinger2016_preprint.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Noetinger2016_preprint.pdf
invalid_pdf,NMR simulation,Random Walk\._Toumelin2003_generalRW.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Toumelin2003_generalRW.pdf
invalid_pdf,NMR simulation,Random Walk\._Toumelin2003_Temp&DiffusiveCoupling.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Toumelin2003_Temp&DiffusiveCoupling.pdf
invalid_pdf,NMR simulation,Random Walk\._Toumelin2007_GeneralRW.pdf,4096,PdfStreamError: Stream has ended unexpectedly,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\._Toumelin2007_GeneralRW.pdf
exact_duplicate,NMR application,Lab NMR\Pore coupling\Jacomoetal2018_Petrophysics.pdf,18974241,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR application\Lab NMR\Petrophysics\Jacomoetal2018_Petrophysics.pdf,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR application\Lab NMR\Pore coupling\Jacomoetal2018_Petrophysics.pdf
exact_duplicate,NMR measurement and modeling,T1-T2\Maneval2019.pdf,3157172,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR application\Lab NMR\Rock\Maneval2019.pdf,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR measurement and modeling\T1-T2\Maneval2019.pdf
exact_duplicate,NMR simulation,Random Walk\McCall1991.pdf,820260,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\matrix diagonalization methods\McCall1991.pdf,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR simulation\Random Walk\McCall1991.pdf
exact_duplicate,NMR Theory and Review,Dunn\2002 Dunn-2.pdf,1476028,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-11.pdf,C:\Users\imgw\Documents\Codex\gpt项目管理\NMR\原始文献布局\NMR Theory and Review\Dunn\2002 Dunn-2.pdf
