merged_pdf,bookmark_title,pages,estimated_tokens,deduplicated_source_count,primary_source,all_sources,content_note
02_recent_seismoelectric_experiments_models.pdf,Schakel 2012 fluid porous interface,12,8795,2,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\12_Schakel_2012_fluid_porous_interface.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\12_Schakel_2012_fluid_porous_interface.pdf | uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2012_Haines_Pride_seismoelectric_interface_response_model.pdf,Schakel/Smeulders 界面理论与边界条件来源，适合核对反射/透射转换系数和相位约定。
02_recent_seismoelectric_experiments_models.pdf,Microsoft Word - zhu_revised.doc,25,9452,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\18_Zhu_Burns_Toksoz_2008_water_tank.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\18_Zhu_Burns_Toksoz_2008_water_tank.pdf,与震电、反应输运或电动参数有关的补充文献，适合在写作时按具体问题检索引用。
02_recent_seismoelectric_experiments_models.pdf,Wapenaar 2012 experimental validation interferometry,24,25225,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\22_Wapenaar_2012_experimental_validation_interferometry.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\22_Wapenaar_2012_experimental_validation_interferometry.pdf,实验验证或水槽研究，适合对照模型波形、界面响应和观测可行性。
02_recent_seismoelectric_experiments_models.pdf,jb008053 1..15,15,13273,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\23_Tardif_2011_frequency_dependent_Ottawa_sand.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\23_Tardif_2011_frequency_dependent_Ottawa_sand.pdf,与震电、反应输运或电动参数有关的补充文献，适合在写作时按具体问题检索引用。
02_recent_seismoelectric_experiments_models.pdf,Experimental Measurement of Frequency-Dependent Permeability and Streaming Potential of Sandstones,29,18297,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\25_Jouniaux_2020_frequency_dependent_permeability_streaming.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\25_Jouniaux_2020_frequency_dependent_permeability_streaming.pdf,震电/电震综述，适合写引言、应用背景、机制分类和研究空缺。
02_recent_seismoelectric_experiments_models.pdf,Full waveform numerical simulations of seismoelectromagnetic wave conversions in fluid‐saturated stratified porous media,19,19671,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\27_Garambois_Dietrich_2002_full_waveform.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\27_Garambois_Dietrich_2002_full_waveform.pdf,与震电、反应输运或电动参数有关的补充文献，适合在写作时按具体问题检索引用。
02_recent_seismoelectric_experiments_models.pdf,Jouniaux Zyserman 2016 seismoelectric review,36,43690,3,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\31_Jouniaux_Zyserman_2016_seismoelectric_review.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\31_Jouniaux_Zyserman_2016_seismoelectric_review.pdf | uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2016_Jouniaux_Zyserman_review_seismo_electrics_electro_seismics.pdf | uploaded_files\literature_review\Jouniaux_Zyserman_2016_SE_review.pdf,震电/电震综述，适合写引言、应用背景、机制分类和研究空缺。
02_recent_seismoelectric_experiments_models.pdf,Seismoelectric interface electromagnetic wave characteristics for the finite offset Vertical Seismoelectric Profiling configuration Theoretical modeling and experiment verification,7,5974,1,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\Seismoelectric interface electromagnetic wave characteristics for the finite offset Vertical Seismoelectric Profiling configuration_ Theoretical modeling and experiment verification.pdf,uploaded_files\02_recent_seismoelectric_research_experiments_simulations\Seismoelectric interface electromagnetic wave characteristics for the finite offset Vertical Seismoelectric Profiling configuration_ Theoretical modeling and experiment verification.pdf,有限偏移距 VSEP 和 interface EM 波形建模参考，适合核对频率-波数积分、空间分布和偶极子解释。
03_reactive_transport_prior_work_and_si.pdf,Interpreting Self-Potential Signal during Reactive Transport: Application to Calcite Dissolution and Precipitation,31,23416,2,uploaded_files\03_previous_reactive_transport_research\29_Rembert_2022_calcite_reactive_transport_SP.pdf,uploaded_files\03_previous_reactive_transport_research\29_Rembert_2022_calcite_reactive_transport_SP.pdf | uploaded_files\literature_review\SP_reactive_transport_calcite_dissolution_precipitation_2022.pdf,方解石/碳酸盐表面电性与 zeta potential 参考，适合约束溶蚀体系界面电动参数。
03_reactive_transport_prior_work_and_si.pdf,Soulaine 2017 pore scale dissolution wormholing,27,20908,2,uploaded_files\03_previous_reactive_transport_research\30_Soulaine_2017_pore_scale_dissolution_wormholing.pdf,uploaded_files\03_previous_reactive_transport_research\30_Soulaine_2017_pore_scale_dissolution_wormholing.pdf | uploaded_files\literature_review\Soulaine_et_al_2017_mineral_dissolution_wormholing.pdf,孔隙尺度反应输运、矿物溶蚀或孔隙合并参考，适合连接孔渗/曲折度演化与震电响应。
03_reactive_transport_prior_work_and_si.pdf,manuscript,18,15756,1,uploaded_files\03_previous_reactive_transport_research\manuscript.pdf,uploaded_files\03_previous_reactive_transport_research\manuscript.pdf,当前项目已有反应输运-NMR 主文稿，可用于对接本项目论文背景、数据来源和多物理耦合叙事。
03_reactive_transport_prior_work_and_si.pdf,supporting information,27,7842,1,uploaded_files\03_previous_reactive_transport_research\supporting information.pdf,uploaded_files\03_previous_reactive_transport_research\supporting information.pdf,当前项目已有补充信息，包含方法细节、补充图表或参数信息，需与主文稿一起引用。
03_reactive_transport_prior_work_and_si.pdf,Pore-merging methodology for reactive transport and mineral dissolution in pore-network models,16,21305,1,uploaded_files\literature_review\Pore_merging_reactive_transport_mineral_dissolution_2021.pdf,uploaded_files\literature_review\Pore_merging_reactive_transport_mineral_dissolution_2021.pdf,孔隙尺度反应输运、矿物溶蚀或孔隙合并参考，适合连接孔渗/曲折度演化与震电响应。
04_literature_review_core_bridge.pdf,Pride 1994 governing equations,19,17100,1,uploaded_files\literature_review\Pride_1994_governing_equations.pdf,uploaded_files\literature_review\Pride_1994_governing_equations.pdf,Pride 震电耦合控制方程基础，适合定义动态渗透率、电动耦合和电磁-声学耦合框架。
05_conductivity_electrolyte_streaming_zeta.pdf,Frequency-Dependent Streaming Potentials,10,9948,1,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2001_Reppert_Morgan_Lesmes_Jouniaux_frequency_dependent_streaming_potentials.pdf,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2001_Reppert_Morgan_Lesmes_Jouniaux_frequency_dependent_streaming_potentials.pdf,震电/电震综述，适合写引言、应用背景、机制分类和研究空缺。
05_conductivity_electrolyte_streaming_zeta.pdf,Zhu Toksoz effects saturant conductivity seismoelectric conversion,8,11819,1,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2003_Zhu_Toksoz_effects_saturant_conductivity_seismoelectric_conversion.pdf,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2003_Zhu_Toksoz_effects_saturant_conductivity_seismoelectric_conversion.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
05_conductivity_electrolyte_streaming_zeta.pdf,IFP whitepaper seismo electromagnetic method,14,7639,1,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2016_IFP_whitepaper_seismo_electromagnetic_method.pdf,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2016_IFP_whitepaper_seismo_electromagnetic_method.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
05_conductivity_electrolyte_streaming_zeta.pdf,Modelling pH-Dependent and Microstructure-Dependent Streaming Potential Coefficient and Zeta Potential of Porous Sandstones,26,16562,1,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2018_Glover_Walker_modelling_pH_microstructure_streaming_zeta_potentials.pdf,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2018_Glover_Walker_modelling_pH_microstructure_streaming_zeta_potentials.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
05_conductivity_electrolyte_streaming_zeta.pdf,"Measurements of the Relationship Between Microstructure, pH, and the Streaming and Zeta Potentials of Sandstones",24,16177,1,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2018_Walker_Glover_microstructure_pH_streaming_zeta_potentials_sandstones.pdf,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2018_Walker_Glover_microstructure_pH_streaming_zeta_potentials_sandstones.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
05_conductivity_electrolyte_streaming_zeta.pdf,Seismo-electric conversion in shale: experiment and analytical modelling,44,25009,1,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2020_Peng_Di_Glover_seismo_electric_conversion_shale.pdf,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2020_Peng_Di_Glover_seismo_electric_conversion_shale.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
05_conductivity_electrolyte_streaming_zeta.pdf,Modified theoretical model for temperature-dependent electro-kinetic properties of porous media,48,25430,1,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2026_Glover_temperature_salinity_pH_electrokinetic_properties_porous_media_AAM.pdf,uploaded_files\literature_review\conductivity_electrolyte_seismoelectric\2026_Glover_temperature_salinity_pH_electrokinetic_properties_porous_media_AAM.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
06_revil_applications_inversion_unsaturated.pdf,Revil Linde Cerepi electrokinetic coupling unsaturated porous media,45,14816,1,uploaded_files\literature_review\revil_seismoelectric\2007_Revil_Linde_Cerepi_electrokinetic_coupling_unsaturated_porous_media.pdf,uploaded_files\literature_review\revil_seismoelectric\2007_Revil_Linde_Cerepi_electrokinetic_coupling_unsaturated_porous_media.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,Stochastic joint inversion of 2D seismic and seismoelectric signals in linear poroelastic materials: A numerical investigation,13,19521,1,uploaded_files\literature_review\revil_seismoelectric\2010_Jardani_Revil_Slob_Sollner_stochastic_joint_inversion_Geophysics.pdf,uploaded_files\literature_review\revil_seismoelectric\2010_Jardani_Revil_Slob_Sollner_stochastic_joint_inversion_Geophysics.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,gji_4439_LR,17,18686,1,uploaded_files\literature_review\revil_seismoelectric\2010_Revil_Jardani_seismoelectric_response_heavy_oil_reservoirs.pdf,uploaded_files\literature_review\revil_seismoelectric\2010_Revil_Jardani_seismoelectric_response_heavy_oil_reservoirs.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,Imaging with crosshole seismoelectric tomography,18,17448,1,uploaded_files\literature_review\revil_seismoelectric\2012_Araji_Revil_Jardani_Minsley_crosshole_seismoelectric_tomography_GJI.pdf,uploaded_files\literature_review\revil_seismoelectric\2012_Araji_Revil_Jardani_Minsley_crosshole_seismoelectric_tomography_GJI.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,Virtual electrode current injection using seismic focusing and seismoelectric conversion,5,6099,1,uploaded_files\literature_review\revil_seismoelectric\2012_Sava_Revil_virtual_electrode_current_injection.pdf,uploaded_files\literature_review\revil_seismoelectric\2012_Sava_Revil_virtual_electrode_current_injection.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,Seismoelectric conversion generated from water-oil boundary in unsaturated porous media,6,5081,1,uploaded_files\literature_review\revil_seismoelectric\2013_Mahardika_Revil_water_oil_boundary_SEG.pdf,uploaded_files\literature_review\revil_seismoelectric\2013_Mahardika_Revil_water_oil_boundary_SEG.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,Coupled hydromechanical and electromagnetic disturbances in unsaturated porous materials,23,23963,1,uploaded_files\literature_review\revil_seismoelectric\2013_Revil_Mahardika_coupled_hydromechanical_electromagnetic_unsaturated.pdf,uploaded_files\literature_review\revil_seismoelectric\2013_Revil_Mahardika_coupled_hydromechanical_electromagnetic_unsaturated.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,Revil Barnier Karaoulis Sava unsaturated porous media,18,17870,1,uploaded_files\literature_review\revil_seismoelectric\2014_Revil_Barnier_Karaoulis_Sava_unsaturated_porous_media.pdf,uploaded_files\literature_review\revil_seismoelectric\2014_Revil_Barnier_Karaoulis_Sava_unsaturated_porous_media.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,Sava Revil Karaoulis crosswell resistivity seismoelectric focusing,15,13541,1,uploaded_files\literature_review\revil_seismoelectric\2014_Sava_Revil_Karaoulis_crosswell_resistivity_seismoelectric_focusing.pdf,uploaded_files\literature_review\revil_seismoelectric\2014_Sava_Revil_Karaoulis_crosswell_resistivity_seismoelectric_focusing.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,ElKhoury Revil Sava seismoelectric beamforming sensitivity,20,15243,1,uploaded_files\literature_review\revil_seismoelectric\2015_ElKhoury_Revil_Sava_seismoelectric_beamforming_sensitivity.pdf,uploaded_files\literature_review\revil_seismoelectric\2015_ElKhoury_Revil_Sava_seismoelectric_beamforming_sensitivity.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
06_revil_applications_inversion_unsaturated.pdf,Jardani Revil two immiscible fluid phases,21,17948,1,uploaded_files\literature_review\revil_seismoelectric\2015_Jardani_Revil_two_immiscible_fluid_phases.pdf,uploaded_files\literature_review\revil_seismoelectric\2015_Jardani_Revil_two_immiscible_fluid_phases.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
07_seismoelectric_books_reviews.pdf,The SeismoelectricMethodTheory and applications revil,298,219316,3,uploaded_files\01_classical_theory_foundational_papers\The SeismoelectricMethodTheory and applications revil.pdf,uploaded_files\01_classical_theory_foundational_papers\The SeismoelectricMethodTheory and applications revil.pdf | uploaded_files\literature_review\revil_seismoelectric\2015_Revil_Jardani_Sava_Haas_The_Seismoelectric_Method_book.pdf | uploaded_files\literature_review\revil_seismoelectric\The SeismoelectricMethodTheory and applications revil.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
07_seismoelectric_books_reviews.pdf,Grobbe et al Seismoelectric Exploration chp1-2,43,40034,1,uploaded_files\literature_review\revil_seismoelectric\2020_Grobbe_et_al_Seismoelectric_Exploration_chp1-2.pdf,uploaded_files\literature_review\revil_seismoelectric\2020_Grobbe_et_al_Seismoelectric_Exploration_chp1-2.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
07_seismoelectric_books_reviews.pdf,Grobbe et al Seismoelectric Exploration full book,472,462034,1,uploaded_files\literature_review\revil_seismoelectric\2020_Grobbe_et_al_Seismoelectric_Exploration_full_book.pdf,uploaded_files\literature_review\revil_seismoelectric\2020_Grobbe_et_al_Seismoelectric_Exploration_full_book.pdf,Revil 系列理论、应用或反演研究，适合支撑震电应用背景、非饱和/多相效应和成像解释。
08_calcite_zeta_carbonate_reference.pdf,Influence of CO2 on the Electrical Conductivity and Streaming Potential of Carbonate Rocks,18,18190,1,uploaded_files\zeta-calcite\JGR Solid Earth - 2019 - Cherubini - Influence of CO2 on the Electrical Conductivity and Streaming Potential of Carbonate.pdf,uploaded_files\zeta-calcite\JGR Solid Earth - 2019 - Cherubini - Influence of CO2 on the Electrical Conductivity and Streaming Potential of Carbonate.pdf,电导率、盐度、pH 或电解质影响参考，适合把 H+ 浓度/流体电导率映射到震电参数。
08_calcite_zeta_carbonate_reference.pdf,Zeta potential of artificial and natural calcite in aqueous solution,17,26731,1,uploaded_files\zeta-calcite\Zeta potential of artifi cial and natural calcite in aqueous solution.pdf,uploaded_files\zeta-calcite\Zeta potential of artifi cial and natural calcite in aqueous solution.pdf,方解石/碳酸盐表面电性与 zeta potential 参考，适合约束溶蚀体系界面电动参数。
08_calcite_zeta_carbonate_reference.pdf,Zeta Potential of Intact Natural Limestone,51,20158,1,uploaded_files\zeta-calcite\Zeta Potential of Intact Natural Limestone.pdf,uploaded_files\zeta-calcite\Zeta Potential of Intact Natural Limestone.pdf,方解石/碳酸盐表面电性与 zeta potential 参考，适合约束溶蚀体系界面电动参数。
