group_id,group_file,source_file,source_basename,detected_title,pages,estimated_tokens,is_supporting_information,content_note
02,02_deng_fracture_dissolution_2013_2020.pdf,literature_deng_reactive_transport/pdfs/agent_early/2016_2_5D_Reactive_Transport_Model.pdf,2016_2_5D_Reactive_Transport_Model.pdf,es-2016-02184x 1..8,9,10800,False,Deng/Molins/Steefel 2.5D fracture alteration model; key paper for learning the reduced-dimensional fracture reactive-transport coupling strategy.
02,02_deng_fracture_dissolution_2013_2020.pdf,literature_deng_reactive_transport/pdfs/agent_early/2017_Alteration_Erosion_Carbonate_Rich_Shale_Fracture.pdf,2017_Alteration_Erosion_Carbonate_Rich_Shale_Fracture.pdf,2017_Alteration_Erosion_Carbonate_Rich_Shale_Fracture,25,30000,False,Reactive transport model for carbonate-rich shale fracture alteration and erosion; emphasizes fracture-matrix reactions and synchrotron observations.
02,02_deng_fracture_dissolution_2013_2020.pdf,literature_deng_reactive_transport/pdfs/agent_early/2018_Fracture_Evolution_Multimineral_Systems.pdf,2018_Fracture_Evolution_Multimineral_Systems.pdf,2018_Fracture_Evolution_Multimineral_Systems,28,33600,False,"Analyzes how mineral composition, flow rate, and aperture heterogeneity control fracture evolution in multimineral systems."
02,02_deng_fracture_dissolution_2013_2020.pdf,literature_deng_reactive_transport/pdfs/agent_early/2018_Planar_fractures_limestone_flow_heterogeneity.pdf,2018_Planar_fractures_limestone_flow_heterogeneity.pdf,"Evolution of planar fractures in limestone_ The role of flow rate, mineral heterogeneity and local transport processes",15,18000,False,Examines planar limestone fracture evolution under flow/mineral heterogeneity and local transport processes; useful for aperture-permeability coupling logic.
02,02_deng_fracture_dissolution_2013_2020.pdf,literature_deng_reactive_transport/pdfs/agent_early/2019_Fracture_Channelization_Transmissivity_Evolution.pdf,2019_Fracture_Channelization_Transmissivity_Evolution.pdf,Reactive Transport Simulation of Fracture Channelization and Transmissivity Evolution,12,14400,False,"Focuses on channelization and transmissivity evolution in dissolving fractures, a key behavior to reproduce or test against."
02,02_deng_fracture_dissolution_2013_2020.pdf,literature_deng_reactive_transport/pdfs/agent_early/2020_Acid_erosion_carbonate_fractures_arsenic.pdf,2020_Acid_erosion_carbonate_fractures_arsenic.pdf,Acid Erosion of Carbonate Fractures and Accessibility of Arsenic-Bearing Minerals: In Operando Synchrotron-Based Microfluidic Experiment,9,10800,False,"Connects acid erosion of carbonate fractures with arsenic release/transport, highlighting reactive alteration plus contaminant consequences."
03,03_pore_fracture_precipitation_and_dissolution_2018_2020.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2018_Pore_scale_surface_roughness_reaction_rates.pdf,2018_Pore_scale_surface_roughness_reaction_rates.pdf,2018_Pore_scale_surface_roughness_reaction_rates,16,19200,False,Studies how pore-scale surface roughness influences reaction rates and apparent kinetics.
03,03_pore_fracture_precipitation_and_dissolution_2018_2020.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2019_Modeling_reactive_transport_fractures.pdf,2019_Modeling_reactive_transport_fractures.pdf,2019_Modeling_reactive_transport_fractures,26,31200,False,"Concise modeling-oriented fracture reactive transport paper, useful for equations, assumptions, and coupling choices."
03,03_pore_fracture_precipitation_and_dissolution_2018_2020.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2019_Multiscale_reactive_transport_fractured_media.pdf,2019_Multiscale_reactive_transport_fractured_media.pdf,Multi-scale Model of Reactive Transport in Fractured Media: Diffusion Limitations on Rates,21,25200,False,Multiscale treatment of reactive transport in fractured media; useful for linking pore/fracture-scale models to continuum descriptions.
03,03_pore_fracture_precipitation_and_dissolution_2018_2020.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2020_Hydrodynamic_driven_dissolution_embedded_cavities.pdf,2020_Hydrodynamic_driven_dissolution_embedded_cavities.pdf,Hydrodynamic driven dissolution in porous media with embedded cavities,17,20400,False,Hydrodynamically driven dissolution in embedded cavities; useful for understanding local flow focusing and dissolution morphology.
03,03_pore_fracture_precipitation_and_dissolution_2018_2020.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2020_MRI_SEM_barite_precipitation.pdf,2020_MRI_SEM_barite_precipitation.pdf,2020_MRI_SEM_barite_precipitation,20,24000,False,"Uses MRI/SEM to characterize barite precipitation and pore/fracture changes, relevant to precipitation validation data."
03,03_pore_fracture_precipitation_and_dissolution_2018_2020.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2020_Nanoparticle_transport_low_field_NMR.pdf,2020_Nanoparticle_transport_low_field_NMR.pdf,High-resolution characterization of nanoparticle transport in heterogeneous porous media via low-field nuclear magnetic resonance,9,10800,False,Nanoparticle transport study using low-field NMR; less central to PHREEQC coupling but useful for NMR-aware porous-media diagnostics.
03,03_pore_fracture_precipitation_and_dissolution_2018_2020.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2020_Semi_analytical_mineral_dissolution_rough_fractures.pdf,2020_Semi_analytical_mineral_dissolution_rough_fractures.pdf,Semi-analytical models of mineral dissolution in rough fractures with permeable walls,19,22800,False,Semi-analytical dissolution model for rough fractures; useful as a lower-complexity check against numerical simulations.
04,04_precipitation_and_coupled_fracture_processes_2021_2022.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2021_Barite_scale_deposition_Marcellus_shale.pdf,2021_Barite_scale_deposition_Marcellus_shale.pdf,Influence of Flow Pathway Geometry on Barite Scale Deposition in Marcellus Shale during Hydraulic Fracturing,11,13200,False,Barite scale deposition in shale context; relevant to precipitation clogging and permeability change mechanisms.
04,04_precipitation_and_coupled_fracture_processes_2021_2022.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2021_Pore_scale_precipitation_diffusivity.pdf,2021_Pore_scale_precipitation_diffusivity.pdf,A Pore‐Scale Investigation of Mineral Precipitation Driven Diffusivity Change at the Column‐Scale,17,20400,False,Pore-scale precipitation effects on diffusivity; useful for coupling mineral volume change to transport-property updates.
04,04_precipitation_and_coupled_fracture_processes_2021_2022.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2022_Coupled_processes_fractures_bordering_matrix.pdf,2022_Coupled_processes_fractures_bordering_matrix.pdf,Investigation of Coupled Processes in Fractures and the Bordering Matrix via a Micro‐Continuum Reactive Transport Model,18,21600,False,"Coupled fracture and adjacent matrix processes; useful for handling reactive fronts, altered layers, and matrix exchange."
04,04_precipitation_and_coupled_fracture_processes_2021_2022.pdf,literature_deng_reactive_transport/pdfs/agent_precip_pore/2022_Two_phase_flow_mineral_reaction_rates.pdf,2022_Two_phase_flow_mineral_reaction_rates.pdf,The Effect of Pore-Scale Two-Phase Flow on Mineral Reaction Rates,17,20400,False,Two-phase flow controls on mineral reaction rates; useful if later extending PHREEQC coupling beyond single-phase flow.
05,05_recent_weathering_co2_texture_and_upscaling_2023_2024.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2023_environmental_controls_enhanced_rock_weathering.pdf,2023_environmental_controls_enhanced_rock_weathering.pdf,The environmental controls on efficiency of enhanced rock weathering in soils,10,12000,False,Enhanced rock weathering efficiency and environmental controls; broader reactive-transport context for weathering simulations.
05,05_recent_weathering_co2_texture_and_upscaling_2023_2024.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2023_environmental_controls_enhanced_rock_weathering_repository.pdf,2023_environmental_controls_enhanced_rock_weathering_repository.pdf,The environmental controls on efficiency of enhanced rock weathering in soils,11,13200,False,Repository/manuscript copy of the enhanced rock weathering work; kept with the main paper because it may contain provenance or alternative formatting.
05,05_recent_weathering_co2_texture_and_upscaling_2023_2024.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2023_Surface_volume_scaling_dissolution_regimes.pdf,2023_Surface_volume_scaling_dissolution_regimes.pdf,Surface‐Volume Scaling Controlled by Dissolution Regimes in a Multiphase Flow Environment,11,13200,False,Surface-volume scaling controlled by dissolution regimes; useful for dimensional analysis and upscaling dissolution rates.
05,05_recent_weathering_co2_texture_and_upscaling_2023_2024.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2024_Fluid_dynamics_geochemistry_CO2_storage_perspective.pdf,2024_Fluid_dynamics_geochemistry_CO2_storage_perspective.pdf,"A perspective on fluid dynamics and geochemistry coupling in geologic CO2 storage: Key reactions, reactive transport modeling, and upscaling methods",18,27004,False,"Perspective/review on fluid dynamics and geochemistry coupling in CO2 storage, reactive transport modeling, and upscaling."
05,05_recent_weathering_co2_texture_and_upscaling_2023_2024.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2024_Micro_porosity_mineralogical_texture_fractured_rock.pdf,2024_Micro_porosity_mineralogical_texture_fractured_rock.pdf,The Impacts of Micro‐Porosity and Mineralogical Texture on Fractured Rock Alteration,14,16800,False,Effects of micro-porosity and mineralogical texture on fractured-rock alteration; useful for heterogeneous matrix/fracture models.
05,05_recent_weathering_co2_texture_and_upscaling_2023_2024.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2024_mineral_precipitation_geometry_alteration.pdf,2024_mineral_precipitation_geometry_alteration.pdf,Mineral Precipitation and Geometry Alteration in Porous Structures: How to Upscale Variations in Permeability–Porosity Relationship?,14,16800,False,Pore-scale precipitation and permeability-porosity relationship upscaling under geometry alteration.
06,06_recent_shale_dissolution_precipitation_reviews_2025_2026.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2025_acid_spearhead_slickwater_wolfcamp_shale.pdf,2025_acid_spearhead_slickwater_wolfcamp_shale.pdf,GeochemicalImpactAcidSpearheadSlickwaterStimWolfcampShaleHydraulicFracturingTestSite_052325,24,28800,False,Geochemical impact of acid spearhead/slickwater stimulation on Wolfcamp shale; application case for reactive fracture-rock alteration.
06,06_recent_shale_dissolution_precipitation_reviews_2025_2026.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2025_Intragranular_porosity_mineral_dissolution_rates.pdf,2025_Intragranular_porosity_mineral_dissolution_rates.pdf,The impacts of well-connected intragranular porosity on mineral dissolution rates,17,20400,False,Micro-continuum treatment of well-connected intragranular porosity and its impact on mineral dissolution rates.
06,06_recent_shale_dissolution_precipitation_reviews_2025_2026.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2025_Nucleation_advection_barite_precipitation.pdf,2025_Nucleation_advection_barite_precipitation.pdf,Controls of the Nucleation Rate and Advection Rate on Barite Precipitation in Fractured Porous Media,10,12000,False,Microfluidic study of nucleation and advection controls on barite precipitation in fractured porous media.
06,06_recent_shale_dissolution_precipitation_reviews_2025_2026.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2026_Dissolution_rates_two_phase_hydrodynamics_single_pores.pdf,2026_Dissolution_rates_two_phase_hydrodynamics_single_pores.pdf,Dependence of Mineral Dissolution Rates on Two‐Phase Hydrodynamics in Single Pores,12,14400,False,Benchmark-like single-pore two-phase calcite dissolution simulations and scaling laws.
06,06_recent_shale_dissolution_precipitation_reviews_2025_2026.pdf,literature_deng_reactive_transport/pdfs/agent_recent/2026_Mineral_precipitation_porous_media_systems.pdf,2026_Mineral_precipitation_porous_media_systems.pdf,Mineral precipitation in porous media systems: Controlling factors and impacts on porous media evolution,23,32314,False,"Review of mineral precipitation in porous media, covering nucleation, growth, pore-size/substrate controls, and porous-media evolution."
07,07_caco3_precipitation_benchmark_yoon_zhang_si.pdf,literature_deng_reactive_transport/precipitationbench/pore-scale-study-of-transverse-mixing-induced-caco3-precipitation-and-permeability-reduction-in-a-model-subsurface.pdf,pore-scale-study-of-transverse-mixing-induced-caco3-precipitation-and-permeability-reduction-in-a-model-subsurface.pdf,pore-scale-study-of-transverse-mixing-induced-caco3-precipitation-and-permeability-reduction-in-a-model-subsurface,6,7976,False,Experimental micromodel paper on transverse-mixing-induced CaCO3 precipitation and permeability reduction; benchmark target for simulation reproduction.
07,07_caco3_precipitation_benchmark_yoon_zhang_si.pdf,literature_deng_reactive_transport/precipitationbench/es1019788_si_001.pdf,es1019788_si_001.pdf,Gene Expression and Genetic Adaptation for Herbicide Degradation in a Model Dynamic Soil System,6,7200,False,"Supporting information for the Zhang et al. CaCO3 precipitation micromodel paper, including supplementary figures and imaging details."
07,07_caco3_precipitation_benchmark_yoon_zhang_si.pdf,literature_deng_reactive_transport/precipitationbench/Water Resources Research - 2012 - Yoon - Pore‐scale simulation of mixing‐induced calcium carbonate precipitation and.pdf,Water Resources Research - 2012 - Yoon - Pore‐scale simulation of mixing‐induced calcium carbonate precipitation and.pdf,Pore‐scale simulation of mixing‐induced calcium carbonate precipitation and dissolution in a microfluidic pore network,11,13200,False,Pore-scale simulation of mixing-induced CaCO3 precipitation/dissolution in a microfluidic pore network; natural template for PHREEQC-coupled reproduction.
